surface	116.5	[81, 50, 55, 59]
surface	117.0	[79, 52, 55, 59]
reduction	117.0	[79, 52, 55, 59]
surface	117.166666667	[81, 52, 55, 59]
surface	117.333333333	[79, 52, 55, 59]
surface	117.5	[74, 52, 55, 59]
surface	118.0	[74, 50, 55, 59]
reduction	118.0	[74, 50, 55, 59]
surface	119.0	[76, 52, 55, 59]
reduction	119.0	[76, 52, 55, 59]
surface	120.0	[76, 50, 55, 59]
reduction	120.0	[76, 50, 55, 59]
grouping	121.0	[72]
surface	121.0	[79, 55, 59, 62]
reduction	121.0	[79, 55, 59, 62]
surface	121.5	[81, 55, 59, 62]
surface	122.0	[81, 55, 57, 60, 64]
reduction	122.0	[81, 55, 57, 60, 64]
surface	122.5	[81, 55, 57, 60, 64]
surface	122.75	[83, 55, 57, 60, 64]
surface	123.0	[79, 55, 59, 62]
reduction	123.0	[79, 55, 59, 62]
surface	123.25	[81, 55, 59, 62]
surface	123.5	[88, 55, 59, 62]
surface	124.0	[88, 55, 57, 60, 64]
reduction	124.0	[88, 55, 57, 60, 64]
surface	124.5	[86, 55, 57, 60, 64]
surface	125.0	[83, 55, 59, 62]
reduction	125.0	[83, 55, 59, 62]
surface	125.166666667	[86, 55, 59, 62]
surface	125.333333333	[83, 55, 59, 62]
surface	125.5	[79, 55, 59, 62]
surface	126.0	[79, 55, 57, 60, 64]
reduction	126.0	[79, 55, 57, 60, 64]
surface	127.0	[81, 55, 59, 62]
reduction	127.0	[81, 55, 59, 62]
surface	128.0	[81, 55, 57, 60, 64]
reduction	128.0	[83, 55, 57, 60, 64]
surface	128.5	[83, 55, 57, 60, 64]
surface	129.0	[79, 55, 59, 62]
reduction	129.0	[79, 55, 59, 62]
surface	129.5	[74, 55, 59, 62]
surface	130.0	[74, 52, 55, 59, 62]
reduction	130.0	[74, 52, 55, 59, 62]
surface	131.0	[76, 50, 52, 55, 59]
reduction	131.0	[76, 50, 52, 55, 59]
surface	132.0	[76, 52, 55, 59, 62]
reduction	132.0	[81, 52, 55, 59, 62]
surface	132.5	[81, 52, 55, 59, 62]
surface	133.0	[79, 50, 52, 55, 59]
reduction	133.0	[79, 50, 52, 55, 59]
surface	133.5	[74, 50, 52, 55, 59]
surface	134.0	[74, 52, 55, 59, 62]
reduction	134.0	[74, 52, 55, 59, 62]
surface	135.0	[76, 50, 52, 55, 59]
reduction	135.0	[76, 50, 52, 55, 59]
surface	136.0	[76, 52, 55, 59, 62]
reduction	136.0	[81, 52, 55, 59, 62]
surface	136.5	[81, 52, 55, 59, 62]
surface	137.0	[79, 50, 52, 55, 59]
reduction	137.0	[79, 50, 52, 55, 59]
surface	137.5	[74, 50, 52, 55, 59]
surface	138.0	[74, 52, 55, 59, 62]
reduction	138.0	[74, 52, 55, 59, 62]
surface	139.0	[76, 49, 52, 56]
reduction	139.0	[76, 49, 52, 56]
surface	140.0	[76, 52, 56, 61]
reduction	140.0	[76, 52, 56, 61]
surface	141.0	[76, 49, 52, 56]
reduction	141.0	[76, 49, 52, 56]
surface	142.0	[76, 52, 56, 61]
reduction	142.0	[76, 52, 56, 61]
surface	142.5	[81, 52, 56, 61]
surface	142.75	[79, 52, 56, 61]
surface	143.0	[76, 49, 52, 56]
reduction	143.0	[76, 49, 52, 56]
surface	144.0	[76, 52, 56, 61]
reduction	144.0	[76, 52, 56, 61]
surface	144.5	[81, 52, 56, 61]
surface	144.75	[79, 52, 56, 61]
surface	145.0	[76, 49, 52, 56]
reduction	145.0	[76, 49, 52, 56]
surface	145.5	[81, 49, 52, 56]
surface	145.75	[79, 49, 52, 56]
surface	146.0	[76, 52, 56, 61]
reduction	146.0	[76, 52, 56, 61]
surface	146.5	[81, 52, 56, 61]
surface	146.75	[79, 52, 56, 61]
surface	147.0	[76, 49, 52, 56]
reduction	147.0	[76, 49, 52, 56]
surface	147.5	[81, 49, 52, 56]
surface	147.75	[79, 49, 52, 56]
surface	148.0	[76, 52, 56, 61]
reduction	148.0	[76, 52, 56, 61]
